avgLockyDrawRt,numIncrStocks,numDescStocks,desc/total,grayTotal,firtTotal,minGrayIncRt.name,minGrayIncRt.value,minFirstIncRt.name,minFirstIncRt.value,maxGrayIncRt.name,maxGrayIncRt.value,maxFirstIncRt.name,maxFirstIncRt.value,minGrayIncMoney.name,minGrayIncMoney.value,minFirstIncMoney.name,minFirstIncMoney.value,maxGrayIncMoney.name,maxGrayIncMoney.value,maxFirstIncMoney.name,maxFirstIncMoney.value
32.01,65,23,0.26,146120.19,167013.43, 先声药业,-18.39, 宋都服务,-36, 欧康维视生物-B,199.45, 科利宝业控股,230, 先声药业,-2519.43, 先声药业,-2719.45, 快手-W,19560.35, 思摩尔国际,18600
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,项目类型,项目值,,类型,股票,涨幅/收益,,,,,,,,,,,,,,,
,平均中签率,32.01,,暗盘收盘最低涨幅, 先声药业,-18.39%,,,,,,,,,,,,,,,
,平均打新成本,6982.53,,首日收盘最低涨幅, 宋都服务,-36%,,,,,,,,,,,,,,,
,增长的股票数,65,,暗盘收盘最低收益, 先声药业,-2519.43,,,,,,,,,,,,,,,
,破发的股票数,23,,首日收盘最低收益, 先声药业,-2719.45,,,,,,,,,,,,,,,
,破发率,26%,,,,,,,,,,,,,,,,,,,
,暗盘收盘卖出收益,146120.19,,,,,,,,,,,,,,,,,,,
,首日收盘卖出收益,167013.43,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,类型,股票,涨幅/收益,,,,,,,,,,,,,,,
,,,,暗盘收盘最高涨幅, 欧康维视生物-B,199.45%,,,,,,,,,,,,,,,
,,,,首日收盘最高涨幅, 科利宝业控股,230%,,,,,,,,,,,,,,,
,,,,暗盘收盘最高收益, 快手-W,19560.35,,,,,,,,,,,,,,,
,,,,首日收盘最高收益, 思摩尔国际,18600,,,,,,,,,,,,,,,